uniprot_id;protein_class;l3;l4;l5
B2RXH2;Epigenetic regulator;Lysine demethylase;Jumonji domain-containing;NULL
P46098;Ion channel;5HT3 receptor;NULL;NULL
Q9UHC3;Ion channel;Acid-sensing ion channel;NULL;NULL
P55087;Ion channel;Aquaporin;Water-specific aquaporin;NULL
P00797;Enzyme;Aspartic protease;Aspartic protease AA clan;Aspartic protease A1A subfamily
P07339;Enzyme;Aspartic protease;Aspartic protease AA clan;Aspartic protease A1A subfamily
P0DJD9;Enzyme;Aspartic protease;Aspartic protease AA clan;Aspartic protease A1A subfamily
P14091;Enzyme;Aspartic protease;Aspartic protease AA clan;Aspartic protease A1A subfamily
P56817;Enzyme;Aspartic protease;Aspartic protease AA clan;Aspartic protease A1A subfamily
O15438;Transporter;ATP-binding cassette;ABCC subfamily;NULL
O15439;Transporter;ATP-binding cassette;ABCC subfamily;NULL
O15440;Transporter;ATP-binding cassette;ABCC subfamily;NULL
O60706;Transporter;ATP-binding cassette;ABCC subfamily;NULL
O95342;Transporter;ATP-binding cassette;ABCB subfamily;NULL
P08183;Transporter;ATP-binding cassette;ABCB subfamily;NULL
P33527;Transporter;ATP-binding cassette;ABCC subfamily;NULL
Q09428;Transporter;ATP-binding cassette;ABCC subfamily;NULL
Q92887;Transporter;ATP-binding cassette;ABCC subfamily;NULL
Q9NP58;Transporter;ATP-binding cassette;ABCB subfamily;NULL
Q9UNQ0;Transporter;ATP-binding cassette;ABCG subfamily;NULL
O60885;Epigenetic regulator;Bromodomain;NULL;NULL
P51531;Epigenetic regulator;Bromodomain;NULL;NULL
Q03164;Epigenetic regulator;Bromodomain;NULL;NULL
Q92793;Epigenetic regulator;Bromodomain;NULL;NULL
Q92830;Epigenetic regulator;Bromodomain;NULL;NULL
Q9UIF8;Epigenetic regulator;Bromodomain;NULL;NULL
P13569;Ion channel;Chloride channel;Cystic fibrosis transmembrane conductance regulator;NULL
Q9Y3Q4;Ion channel;Cyclic nucleotide-regulated channel;NULL;NULL
O60911;Enzyme;Cysteine protease;Cysteine protease CA clan;Cysteine protease C1A family
P07711;Enzyme;Cysteine protease;Cysteine protease CA clan;Cysteine protease C1A family
P07858;Enzyme;Cysteine protease;Cysteine protease CA clan;Cysteine protease C1A family
P09668;Enzyme;Cysteine protease;Cysteine protease CA clan;Cysteine protease C1A family
P15374;Enzyme;Cysteine protease;Cysteine protease CA clan;Cysteine protease C12 family
P25774;Enzyme;Cysteine protease;Cysteine protease CA clan;Cysteine protease C1A family
P29466;Enzyme;Cysteine protease;Cysteine protease CD clan;Cysteine protease C14 family
P42574;Enzyme;Cysteine protease;Cysteine protease CD clan;Cysteine protease C14 family
P43235;Enzyme;Cysteine protease;Cysteine protease CA clan;Cysteine protease C1A family
P45974;Enzyme;Cysteine protease;Cysteine protease CA clan;Cysteine protease C19 family
P53634;Enzyme;Cysteine protease;Cysteine protease CA clan;Cysteine protease C1A family
P55210;Enzyme;Cysteine protease;Cysteine protease CD clan;Cysteine protease C14 family
P55212;Enzyme;Cysteine protease;Cysteine protease CD clan;Cysteine protease C14 family
Q9UBR2;Enzyme;Cysteine protease;Cysteine protease CA clan;Cysteine protease C1A family
Q9UBX1;Enzyme;Cysteine protease;Cysteine protease CA clan;Cysteine protease C1A family
Q9Y5K5;Enzyme;Cysteine protease;Cysteine protease CA clan;Cysteine protease C12 family
P04798;Enzyme;Cytochrome P450 family 1;Cytochrome P450 family 1A;Cytochrome P450 1A1
P05177;Enzyme;Cytochrome P450 family 1;Cytochrome P450 family 1A;Cytochrome P450 1A2
P05108;Enzyme;Cytochrome P450 family 11;Cytochrome P450 family 11A;Cytochrome P450 11A1
P15538;Enzyme;Cytochrome P450 family 11;Cytochrome P450 family 11B;Cytochrome P450 11B1
P19099;Enzyme;Cytochrome P450 family 11;Cytochrome P450 family 11B;Cytochrome P450 11B2
P05093;Enzyme;Cytochrome P450 family 17;Cytochrome P450 family 17A;Cytochrome P450 17A1
P11511;Enzyme;Cytochrome P450 family 19;Cytochrome P450 family 19A;Cytochrome P450 19A1
P05181;Enzyme;Cytochrome P450 family 2;Cytochrome P450 family 2E;Cytochrome P450 2E1
P10632;Enzyme;Cytochrome P450 family 2;Cytochrome P450 family 2C;Cytochrome P450 2C8
P10635;Enzyme;Cytochrome P450 family 2;Cytochrome P450 family 2D;Cytochrome P450 2D6
P11509;Enzyme;Cytochrome P450 family 2;Cytochrome P450 family 2A;Cytochrome P450 2A6
P11712;Enzyme;Cytochrome P450 family 2;Cytochrome P450 family 2C;Cytochrome P450 2C9
P20813;Enzyme;Cytochrome P450 family 2;Cytochrome P450 family 2B;Cytochrome P450 2B6
P33260;Enzyme;Cytochrome P450 family 2;Cytochrome P450 family 2C;Cytochrome P450 2C18
P33261;Enzyme;Cytochrome P450 family 2;Cytochrome P450 family 2C;Cytochrome P450 2C19
Q16696;Enzyme;Cytochrome P450 family 2;Cytochrome P450 family 2A;NULL
P08686;Enzyme;Cytochrome P450 family 21;Cytochrome P450 family 21A;Cytochrome P450 21A2
O43174;Enzyme;Cytochrome P450 family 26;Cytochrome P450 family 26A;Cytochrome P450 26A1
P08684;Enzyme;Cytochrome P450 family 3;Cytochrome P450 family 3A;Cytochrome P450 3A4
P20815;Enzyme;Cytochrome P450 family 3;Cytochrome P450 family 3A;Cytochrome P450 3A5
P24557;Enzyme;Cytochrome P450 family 5;Cytochrome P450 family 5A;Cytochrome P450 5A1
Q16850;Enzyme;Cytochrome P450 family 51;Cytochrome P450 family 51A;Cytochrome P450 51A1
P26358;Epigenetic regulator;DNA methyltransferase;NULL;NULL
P55072;Transporter;Endoplasmic reticular retrotranslocon family;NULL;NULL
P37088;Ion channel;Epithelial sodium channel;NULL;NULL
P14867;Ion channel;GABA-A receptor;NULL;NULL
P24046;Ion channel;GABA-A receptor;NULL;NULL
P28472;Ion channel;GABA-A receptor;NULL;NULL
P31644;Ion channel;GABA-A receptor;NULL;NULL
P34903;Ion channel;GABA-A receptor;NULL;NULL
P47869;Ion channel;GABA-A receptor;NULL;NULL
P48169;Ion channel;GABA-A receptor;NULL;NULL
Q16445;Ion channel;GABA-A receptor;NULL;NULL
P23415;Ion channel;Glycine receptor;NULL;NULL
P16066;Enzyme;Guanylate cyclase;Receptor guanylate cyclase;NULL
Q15788;Epigenetic regulator;Histone acetyltransferase;SRC family;NULL
Q92793;Epigenetic regulator;Histone acetyltransferase;p300/CBP family;NULL
Q92830;Epigenetic regulator;Histone acetyltransferase;GNAT family;NULL
Q9Y6Q9;Epigenetic regulator;Histone acetyltransferase;SRC family;NULL
O15379;Epigenetic regulator;Histone deacetylase;HDAC class I;NULL
P56524;Epigenetic regulator;Histone deacetylase;HDAC class IIa;NULL
Q13547;Epigenetic regulator;Histone deacetylase;HDAC class I;NULL
Q8IXJ6;Epigenetic regulator;Histone deacetylase;HDAC class III;NULL
Q8N6T7;Epigenetic regulator;Histone deacetylase;HDAC class III;NULL
